name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
A.J. Greer,0.43075,0.35550000000000004,0.37124999999999997,11.902000000000001,1.43775,11.875,5.0,22.95,2.55,3.7
Aaron Downey,0.22000000000000003,0.18,0.192,0.608,0.048,0.8,0.0,4.4,0.0,0.8
Aaron Ekblad,0.5234545454545454,0.5334545454545454,0.5309090909090909,61.42945454545454,3.8996363636363633,64.87272727272727,36.21818181818182,30.254545454545454,11.527272727272727,24.654545454545456
Aaron Gagnon,0.2745,0.3,0.27149999999999996,3.1900000000000004,0.35150000000000003,2.8,1.3,2.4,1.1,0.2
Aaron Johnson,0.475,0.46099999999999997,0.462,14.0375,0.751,13.45,8.25,22.85,4.05,6.2
Aaron MacKenzie,0.4,0.404,0.42000000000000004,0.524,0.128,1.2,1.2,2.4,0.4,0.0
Aaron Ness,0.3357142857142857,0.33228571428571424,0.3191428571428571,3.1622857142857144,0.17314285714285715,2.914285714285714,2.057142857142857,2.4,0.4,1.3142857142857143
Aaron Palushaj,0.3865,0.4255,0.3765,7.15,0.481,7.1,3.3,6.6,1.7,1.3
Aaron Rome,0.5096666666666666,0.5136666666666667,0.5256666666666666,11.791,0.5073333333333333,11.833333333333334,10.4,18.3,1.9333333333333333,4.866666666666666
Aaron Volpatti,0.3332,0.368,0.3404,5.38,0.4788,5.04,3.04,20.56,0.88,0.88
Aaron Voros,0.33066666666666666,0.366,0.35933333333333334,13.179333333333334,1.3093333333333335,13.466666666666667,3.2,24.4,1.6,1.4666666666666666
Aaron Ward,0.472,0.457,0.45899999999999996,18.796,0.669,18.2,18.6,63.9,3.4,9.0
Aatu Raty,0.369,0.45600000000000007,0.43200000000000005,5.198,0.316,6.0,2.6,14.4,1.0,1.8
Adam Almquist,0.5740000000000001,0.6060000000000001,0.61,0.608,0.072,0.8,0.4,0.4,0.0,0.0
