name,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_shotsOnGoal,I_F_blockedShotAttempts,I_F_hits,I_F_takeaways,I_F_giveaways
A.J. Greer,0.495,0.45499999999999996,0.46625,28.8075,3.1412500000000003,28.625,12.5,56.875,6.125,9.25
Aaron Downey,0.55,0.45,0.48,1.52,0.12,2.0,0.0,11.0,0.0,2.0
Aaron Ekblad,0.5236363636363636,0.5363636363636364,0.5318181818181819,103.29181818181819,4.647272727272727,109.45454545454545,60.72727272727273,63.18181818181818,22.636363636363637,48.09090909090909
Aaron Gagnon,0.5875,0.525,0.53,7.74,0.7025,6.75,3.25,6.0,2.75,0.25
Aaron Johnson,0.51,0.5125,0.5175,29.4525,1.24,27.75,17.5,50.25,8.75,13.5
Aaron MacKenzie,0.58,0.55,0.58,1.31,0.32,3.0,3.0,6.0,1.0,0.0
Aaron Ness,0.49000000000000005,0.46714285714285714,0.4557142857142857,7.485714285714287,0.2557142857142857,7.0,5.0,5.714285714285714,0.8571428571428571,2.857142857142857
Aaron Palushaj,0.5125,0.53,0.5175,17.3325,1.1575,17.25,8.0,16.5,4.25,3.25
Aaron Rome,0.49499999999999994,0.49833333333333335,0.49499999999999994,25.11666666666667,0.9199999999999999,24.666666666666668,24.333333333333332,44.333333333333336,4.5,10.5
Aaron Volpatti,0.47400000000000003,0.45,0.48,13.197999999999999,1.1640000000000001,12.4,7.6,51.2,2.2,2.0
Aaron Voros,0.44333333333333336,0.48666666666666664,0.48333333333333334,27.3,2.4033333333333333,27.333333333333332,7.333333333333333,59.0,3.6666666666666665,3.3333333333333335
Aaron Ward,0.46499999999999997,0.48,0.485,40.84,1.33,38.0,43.0,136.0,8.5,18.5
Aatu Raty,0.44499999999999995,0.5,0.495,11.935,0.73,14.0,6.5,35.5,2.5,4.5
Adam Almquist,0.43,0.5,0.51,1.52,0.18,2.0,1.0,1.0,0.0,0.0
Adam Beckman,0.4033333333333333,0.45999999999999996,0.4566666666666667,9.773333333333333,0.85,8.666666666666666,4.333333333333333,5.666666666666667,1.3333333333333333,0.3333333333333333
Adam Boqvist,0.46166666666666667,0.48500000000000004,0.47833333333333333,36.214999999999996,1.9183333333333332,35.333333333333336,27.5,20.833333333333332,7.666666666666667,19.5
Adam Brooks,0.51,0.48333333333333334,0.48,7.423333333333333,0.9166666666666666,8.0,2.6666666666666665,8.333333333333334,3.0,2.3333333333333335
Adam Burish,0.48,0.4714285714285714,0.4785714285714286,43.707142857142856,3.8442857142857143,44.142857142857146,11.142857142857142,42.285714285714285,6.0,5.428571428571429
Adam Clendening,0.43,0.48600000000000004,0.48,19.252000000000002,0.5900000000000001,19.2,13.2,10.2,3.0,10.2
Adam Cracknell,0.42666666666666664,0.49,0.47888888888888886,26.42111111111111,2.0844444444444443,25.555555555555557,10.777777777777779,39.666666666666664,7.333333333333333,3.7777777777777777
Adam Edstrom,0.41000000000000003,0.41000000000000003,0.38,24.735,3.965,23.0,7.5,62.0,4.0,11.5
Adam Erne,0.48125,0.4675,0.4675,51.54875,4.9025,50.5,19.75,108.125,9.0,10.875
Adam Fantilli,0.43,0.46499999999999997,0.455,103.975,8.045,92.5,65.0,76.0,17.5,39.0
Adam Foote,0.47333333333333333,0.43333333333333335,0.44,22.52333333333333,0.9633333333333333,21.0,17.333333333333332,55.666666666666664,7.0,18.0
Adam Fox,0.5333333333333333,0.5233333333333333,0.53,86.47000000000001,4.588333333333334,86.5,58.833333333333336,26.5,44.666666666666664,41.5
Adam Gaudette,0.48999999999999994,0.49714285714285716,0.4928571428571429,46.46999999999999,4.632857142857143,44.714285714285715,20.0,32.285714285714285,9.428571428571429,10.142857142857142
Adam Ginning,0.4466666666666667,0.5666666666666667,0.5066666666666667,2.1266666666666665,0.05666666666666667,2.0,3.3333333333333335,6.333333333333333,0.6666666666666666,2.0
Adam Hall,0.48200000000000004,0.45,0.46799999999999997,72.904,6.540000000000001,74.6,17.0,88.8,11.2,6.4
Adam Henrique,0.5246666666666667,0.492,0.4966666666666667,86.18066666666667,9.731333333333334,84.73333333333333,29.0,50.2,21.8,18.933333333333334
Adam Johnson,0.51,0.47,0.48,2.87,0.31,4.0,1.5,7.5,1.5,1.0
Adam Klapka,0.31,0.38,0.37,10.165000000000001,0.815,10.0,3.5,33.0,1.5,1.5
Adam Larsson,0.4985714285714286,0.5007142857142857,0.4985714285714286,76.57714285714285,2.8957142857142855,74.85714285714286,58.5,135.21428571428572,17.642857142857142,32.57142857142857
Adam Lowry,0.5163636363636364,0.5036363636363637,0.5036363636363637,83.81272727272727,10.487272727272726,81.18181818181819,28.0,170.8181818181818,23.181818181818183,15.0
Adam Mair,0.48666666666666664,0.48333333333333334,0.48333333333333334,63.99,5.93,66.0,17.666666666666668,87.66666666666667,13.666666666666666,15.666666666666666
Adam McQuaid,0.504,0.5,0.495,37.231,1.167,39.0,36.2,92.3,5.2,14.8
Adam Pardy,0.49666666666666676,0.5122222222222222,0.508888888888889,26.22888888888889,1.0577777777777777,26.22222222222222,22.11111111111111,43.77777777777778,8.555555555555555,16.555555555555557
Adam Payerl,0.36,0.33,0.35,3.86,0.23,4.0,0.0,6.0,0.0,0.0
Adam Pelech,0.504,0.489,0.48900000000000005,71.088,2.789,69.1,56.2,71.8,22.7,32.5
Adam Raska,0.6266666666666666,0.5033333333333333,0.49000000000000005,1.8966666666666667,0.33,1.0,0.6666666666666666,13.333333333333334,0.6666666666666666,1.6666666666666667
Adam Ruzicka,0.49,0.5225,0.5125,29.567500000000003,2.7375,28.5,13.0,15.5,6.0,7.75
Adam Wilsby,0.57,0.52,0.5,28.35,1.22,30.0,31.0,18.0,9.0,21.0
Adrian Aucoin,0.5,0.518,0.5,72.52000000000001,2.294,71.0,55.2,73.8,13.8,16.2
Adrian Kempe,0.51,0.5244444444444444,0.5211111111111112,113.91111111111111,10.341111111111111,111.55555555555556,54.333333333333336,73.22222222222223,16.444444444444443,23.666666666666668
Aidan McDonough,0.34,0.4,0.36,5.27,0.91,4.0,2.0,7.0,0.0,0.0
Akil Thomas,0.535,0.495,0.505,13.790000000000001,1.75,14.0,6.5,22.5,1.5,2.0
Akim Aliu,0.4,0.425,0.385,2.145,0.28500000000000003,2.5,1.5,5.5,0.5,1.5
Akito Hirose,0.395,0.405,0.43,1.715,0.045,1.0,1.0,4.5,0.5,2.5
Aku Raty,0.48,0.26,0.28,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Alan Quine,0.466,0.47400000000000003,0.454,20.238,1.846,22.2,9.6,26.2,5.0,6.2
Albert Johansson,0.47,0.48,0.48,36.92,1.33,34.0,41.0,46.0,10.0,39.0
Alec Martinez,0.538125,0.52125,0.525625,55.74,2.61,53.125,49.3125,56.375,7.25,28.3125
Alec Regula,0.31666666666666665,0.37000000000000005,0.3466666666666667,5.343333333333334,0.19333333333333336,5.666666666666667,6.333333333333333,9.0,3.3333333333333335,6.666666666666667
Aleksander Barkov,0.5425,0.5408333333333334,0.54,109.05083333333334,11.303333333333333,113.25,33.083333333333336,37.0,40.416666666666664,27.166666666666668
Aleksi Heponiemi,0.44,0.47666666666666674,0.47666666666666674,7.633333333333333,1.0033333333333334,8.666666666666666,1.3333333333333333,0.6666666666666666,3.0,2.0
Aleksi Saarela,0.5,0.46,0.49,14.6,1.3,13.0,3.0,1.0,6.0,3.0
Ales Hemsky,0.492,0.5,0.496,76.94200000000001,6.720000000000001,81.8,37.9,15.2,19.1,22.8
Ales Kotalik,0.49,0.5166666666666667,0.5133333333333333,103.92,6.960000000000001,108.66666666666667,35.0,82.66666666666667,16.0,15.0
Alex Barr-Boulet,0.43,0.4266666666666667,0.39999999999999997,13.616666666666667,1.6300000000000001,12.333333333333334,4.0,9.666666666666666,5.333333333333333,2.0
Alex Barre-Boulet,0.51,0.5,0.49,12.82,1.56,12.5,6.5,9.0,3.0,2.5
Alex Belzile,0.41,0.49333333333333335,0.48,15.973333333333334,1.2133333333333332,16.333333333333332,6.666666666666667,14.666666666666666,3.6666666666666665,5.666666666666667
Alex Biega,0.44625,0.47125,0.4675,39.37375,1.4375,40.25,25.375,72.5,3.5,12.0
Alex Broadhurst,0.66,0.64,0.7,2.12,0.28,1.0,0.0,0.0,2.0,1.0
Alex Chiasson,0.4518181818181818,0.47,0.45999999999999996,57.66727272727273,5.982727272727273,58.36363636363637,21.818181818181817,57.90909090909091,16.272727272727273,12.454545454545455
Alex DeBrincat,0.485,0.49624999999999997,0.49124999999999996,148.61875,12.77875,149.125,71.0,57.25,37.125,33.0
Alex Formenton,0.3775,0.40249999999999997,0.4,40.1025,4.885,42.25,12.0,32.75,10.0,7.0
Alex Friesen,0.44,0.55,0.38,0.73,0.1,1.0,1.0,1.0,1.0,0.0
Alex Frolov,0.5333333333333333,0.5133333333333333,0.5233333333333333,101.36333333333334,11.453333333333333,98.0,31.0,40.333333333333336,22.0,26.0
Alex Galchenyuk,0.4881818181818182,0.4818181818181818,0.4818181818181818,82.82545454545455,8.077272727272726,82.0,33.36363636363637,46.27272727272727,16.181818181818183,21.09090909090909
Alex Goligoski,0.505,0.508125,0.51,74.88875,2.9175,76.0,61.25,62.9375,10.25,37.8125
Alex Grant,0.535,0.525,0.505,2.63,0.195,2.5,4.0,4.0,0.5,0.0
Alex Henry,0.2,0.25,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Alex Iafallo,0.50625,0.515,0.525,101.225,9.72125,101.0,35.75,43.625,20.25,13.25
Alex Kerfoot,0.48,0.48,0.47,86.8,10.99,70.0,28.0,62.0,29.0,24.0
Alex Khokhlachev,0.35000000000000003,0.45333333333333337,0.44333333333333336,2.1,0.15,2.3333333333333335,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666
Alex Killorn,0.5084615384615385,0.52,0.5138461538461538,104.83538461538463,10.287692307692309,103.07692307692308,45.15384615384615,64.53846153846153,20.307692307692307,26.615384615384617
Alex Kovalev,0.4875,0.5,0.495,94.6525,9.2325,92.0,48.0,22.25,23.0,39.0
Alex Laferriere,0.54,0.53,0.535,149.825,14.19,123.5,67.5,104.5,16.0,29.0
Alex Newhook,0.522,0.49799999999999994,0.502,66.838,7.764,65.8,36.8,41.0,15.6,16.0
Alex Nylander,0.5333333333333333,0.5266666666666667,0.5166666666666667,31.99,2.5700000000000003,33.333333333333336,11.333333333333334,13.0,9.666666666666666,8.666666666666666
Alex Ovechkin,0.49764705882352944,0.5082352941176471,0.5052941176470588,204.63058823529414,17.351176470588236,196.1764705882353,113.70588235294117,171.0,24.823529411764707,40.35294117647059
Alex Petrovic,0.445,0.4775,0.4675,21.689999999999998,0.715,22.25,16.0,63.75,3.0,9.25
Alex Pietrangelo,0.5129411764705882,0.5188235294117647,0.5205882352941176,105.48117647058824,4.133529411764705,107.52941176470588,70.88235294117646,36.529411764705884,29.529411764705884,29.176470588235293
Alex Plante,0.45333333333333337,0.47000000000000003,0.4633333333333333,2.8200000000000003,0.07333333333333333,3.0,1.0,5.333333333333333,0.3333333333333333,1.3333333333333333
Alex Steeves,0.5,0.4875,0.5325,4.1575,0.44,3.25,0.5,7.0,1.5,0.0
Alex Tanguay,0.4775,0.46749999999999997,0.46749999999999997,55.07375,6.61125,53.875,19.625,25.375,23.5,24.0
Alex Tuch,0.5255555555555556,0.5222222222222223,0.5222222222222223,114.86111111111111,10.75,108.88888888888889,39.888888888888886,51.77777777777778,37.888888888888886,25.11111111111111
Alex Turcotte,0.5225,0.535,0.5575,26.7225,3.5300000000000002,23.5,8.25,11.75,4.75,8.75
Alex Vlasic,0.47,0.4275,0.4425,37.7025,1.4175,35.5,27.25,27.75,24.25,28.5
Alex Wennberg,0.485,0.515,0.5125,61.652499999999996,6.665,64.0,24.25,37.75,37.75,20.75
Alexander Alexeyev,0.5475,0.4525,0.495,15.280000000000001,0.45,13.0,13.5,21.75,1.75,7.5
Alexander Barabanov,0.475,0.47000000000000003,0.46499999999999997,63.947500000000005,8.11,61.5,21.75,29.75,22.25,19.0
Alexander Burmistrov,0.445,0.4816666666666667,0.4766666666666666,65.075,5.62,61.333333333333336,31.833333333333332,71.83333333333333,23.333333333333332,21.0
Alexander Chmelevski,0.45,0.48,0.51,6.36,0.58,8.0,1.0,7.0,2.0,0.0
